creator_name,userid,comment
Serpent Sity Exotics,2419456,Unless its an animal that will benefit from captive breeding for conservation purposes I dont like to keep aggressive animals. I like things I can interact with and attitude is totally a thing that passes from parents to offspring so I dont combine cranky animals. Combos/crosses for the sake of it is eh to me. Neat I guess but eh. Its not really something that I find too impressive I guess since a lot of things people cross in captivity cross in the wild too given proper proximity and conditions. Im glad when I see healthy hybrids though tbh because it is easy for hybridized animals to come with a litany of health issues even sometimes with closely related species. I guess Im not a big fan of decorative animals either.  Probably has to do with the fact that I like to help people learn about reptiles and the easiest way to do that is to fill them with positive experience and a snake that doesnt give a crap about being handled and poked is a perfect way to show off how amazing all these different species can be. Ive gotten several people to completely flip their views of reptiles as a whole just by touching one snake for the first time and its heartwarming - all the fear and hate becomes curiosity and wonder. Also because thats just one more person who might possibly become a supporter that endangered species really need to help them thrive again if its possible in the wild.
Brave Wilderness,2028960,I hope they will come to the next year’s YouTube rewind
Ericas Slot World,2303823,For increasing youtube views  with video marketing Go to http://ytviews.info/ best website for youtube views.
MonkeyBoo,166791,He wants you open it for him.  why wont you teach him?
Corvus Oscen,1137996,lololol- you are such a funny guy!
Taylor Nicole Dean,1183630,Lmao the girl in the beginning trying to get into the camera.
Taylor Nicole Dean,1051242,Look taylor your great but wheres cheese??
Hope For Paws - Official Rescue Channel,1479915,I hope Opal will find the love and care she deserves after being on the streets. Opal needs pampering. Its a good name for her.
Taylor Nicole Dean,1896662,Happy Halloween taylor
mocha5cougar,2108987,What a gorgeous creature.
The Neighbors,1074484,I hope that you are feeling better.  I  appreciate the fact that you always respond to my comments.  Continued prayers for you and your familys health your finances and your friend. Your animals are so cute. I enjoy watching them.
Hope For Paws - Official Rescue Channel,1104405,You guys deserve more views subscribers and likes! You guys are TOO amazing to believe! ❤️❤️🔥🔥
#CameraLord™ • Kor Capital,1888275,This shit slapping out here in Portland OR
Vet Ranch,1977937,i feel sorry for the dog she watched that south park episode and used the microwave
BreyerSCS,1405377,OMG 😍😍😍 one of the best barns Ive ever seen. I love how much attention you pay to all the little details!! 😍😍
reefkeeper2,2494643,unreal. really nice. that is a testament to all that hard work. i know i have a reef tank.     not easy.
StormyRabbits,2296574,my bunny does all this thing sometimes I thought  he`s crazy xd
Gone to the Snow Dogs,2422428,I fell good when Shiloh died i was born
Gohan The Husky,1271549,I live in Tampa Florida
Brave Wilderness,2494905,Im terrified of a tortoises mouth O_O O_O O_O O_O O_O O_O O_O
Inglorious Bettas,1354665,would you say killifish like high pH in order to spawn and are your grindle worms fed to newly hatched fry? Great job on the daily videos!
Boutique Teacup Puppies,2424561,How much awww so cute baby
Brave Wilderness,2068219,lol man
Brave Wilderness,1770770,what a Japanese wasp?
Brave Wilderness,1255031,that was awesome you are so strong if you can do that
Robin Seplut,1722268,Good morning!  So glad that I found this channel!  You are the most selfless giving person! Keep up the good work!
Brave Wilderness,613339,that lobster was dabing while he pinched him
Animalz TV,1036811,I have to admit I farted and laughed at the first one.
Gohan The Husky,94899,i have seen many of his videos but this dog never barks....whats the problem with him...
Cole & Marmalade,2518756,OMG...Tempat yang sangat kering dan gersangApakah tidak ada air disana???
klusmanp,2439017,As a librarian I believe in open access to information for all. It’s a cornerstone of our democracy. This attack by the ISPs on open access is an attack on democracy itself.
Brave Wilderness,557478,Poor coyote
fincasters,469509,More botanicals
Colorado Bigfoot,1232451,Hey Marc make sure you figure out some sort of locator system for that thing
Zak Georges Dog Training rEvolution,1368333,what age is this here husky ?
Daniel Martel,1084991,Saludos Daniel vivo en San Diego en donde recomiendas haser metal detector? Gracias!!
Gotcha The Cockatoo,2474640,How funny! This is exactly what our Grey (SongaGrey) does when shes nesting! They are hysterical are they not? LOL! -=)
Vet Ranch,910065,Thank you so much for all that you do!
Brian Barczyk,1968971,Love the videos man makes my day to see them when I wake up
Brave Wilderness,912735,How many lines did u sniff
Alex Dauterive,604285,Hi love your vids....Please react to Seventeen more likeS.Coups VS SeungcheolWoozi VS JihoonThe onstage and offstage characters of the members 😘
m0rtuum,519436,incredible as always >o>
RaleighLink14,1656444,Omg i just say the photos and thats socking how could someone do that. He is making the horse suffer people like that are stupid. Those people are the reason we have so many animals rescue shelter because they dont know how to treat animals with the respect they deserve.#LOVEYOURHORSE. He needs to go to jail that man is just a disgrace to other equestrians. What has that horse ever done to him.
ViralHog,1049623,why he walked away wtf lol
Paws Channel,1850580,Me in this situation *feeds dogsguard comes upguard hits with stickI knock him outsteal the dogs run!!!!!!*
ViralHog,699152,I AM TIRED OF THESE MOTHAFUKIN SNAKES ON THIS MOTHAFUKIN MOTORCYCLE!!
Aquarium Co-Op,459855,Any advice my 4 glow light terras died the other day out of no were I dont have any white spot or anything like that they were eating well and non of my fish were bullying then no water peramiters Could have changed and they were swimming around fine about 6 hours before I found them dead
Brave Wilderness,1209330,I saw you already nice slugs
Brian Barczyk,2074576,how much do you charge for chameleons
Vet Ranch,460708,Wont lie this channel has inspired me to become an animal foster when I retire from the military and I love the work you do.  It has reminded me that there are good people out there helping innocents who cannot help themselves and are often thrown away by society.  Just donated 50 US and hope to do it again every mid-month pay.  Keep up the good work and I look forward to the next video!
crayj46,28259,wow their crops are.going to explode
SnakeHuntersTV,2142470,You guy are mean don t give em rats
Info Marvel,229594,Brevemente la música está en cámara ultra hiper super mega rápida
Brave Wilderness,1377593,😢😢😢
Mr. Max T.V.,1947326,Hes in one of those funny moods lol
MonkeyBoo,1510204,Billy Mays eyeballs are so close together what the hell!
asian man records,542617,very cool!
LadyLibertyStacker,100167,Love the video great music and really nice scenery.  Congrats to the new pilot!!
Storm Focus,2196207,so sorry
Taylor Nicole Dean,2289993,Omg i love her choker so much
Brave Wilderness,2478509,woke?
CLB Nuôi Sóc Cảnh,2484451,soc bong vn nhiu cap vay ban .mo mat roi.
Brave Wilderness,1983739,I bet the people who get bite by k-9 24/7 are probably saying weak to coyote
꼬부기아빠 My Pet Diary,1928744,4:07 혹시 쵸비한테 무슨 냄새라도 나는걸까요ㅎㅎ 동물 번역기가 필요하다!!!ㅇㅅㅇ
Brian Barczyk,1719535,Tis 9:46am and boy is it a bit chilly out in Florida! We are having a few cold fronts come through off and on so be prepared for some breezes. Hope your travels are safe and hope you enjoy Florida(again)! :D
꼬부기아빠 My Pet Diary,382966,I meant the keyboard tray not the keyboard.   Thanks.
Mr. Max T.V.,276712,Look at all the money he has won from Dan. Bet Max marks the cards.
Brave Wilderness,1694349,hahahaha
ViralHog,2334456,Shoot that piece of shit
Robin Seplut,2040453,#Under1KViewsSquad( also Robin why dont you put ads on ten minute videos?? It gets you revenue / youtube pays you to make videos.
AboutMagic,847410,First
Brave Wilderness,1038980,That sloth speech...
Brave Wilderness,2005951,horned lizard speutle
Info Marvel,2047120,La muerte de Bruce y la de Victor Mancha son las que más me dolieron.
The Dodo,354436,If cuteness could kill everyone who watched this would be Dead! :D
TheMeanKitty,624467,Love it sooooooo much ♥♥♥
Brave Wilderness,318460,Man if I won the pack I’d  haul off to Yosemite to adventure the mountains with my friends and go on a hoke hopefully spotting bears from a SAFE distance of course!If anything I’ll buy some of those moral patches if you have some in black!!
Keedes channel LIVE,2347372,Назовите щенка Габриэлла сокращённо Габби)))
MonkeyBoo,861475,Happy birthday Monkey Boo! ❤❤❤❤😘
MaxluvsMya,820958,Purrrrfect!
Info Marvel,119267,c
ViralHog,1942425,She aight
Exploring Alabama,1398750,I call keys brass crawfish. Okay I dont. But Im trying to start a trend.
Berner415,1615394,This shits bumpin
Brave Wilderness,831643,it is delicious
Gnat Vova,2186824,Nice video thanks Gnat 😀
Brian Barczyk,1354499,I love waking up and watching the awesome videos
Brave Wilderness,2489192,This was uploaded on my dads 👨🏻 birthday 🎉
rsdfreetour,1697120,Owen could you show us an infield where you pull the girl away from a guy who is also high value and with good game? Not from a chode.
Puff Daddy Reef,1896296,The tonga shelf looks really good! I will definitely consider it for my next build. Thank you for sharing. Since you didnt cure the rock be prepared for algae outbreaks especially the first four months. You have to be very attentive so you dont allow it to take over. I cured for 2 months and still had to deal with algae the first two and a half months. But it will be worth it. I love the look of pukani.
The Dodo,1407537,When your friend doesnt tag you anymore in memes
Live2Thrill,770922,Chevrolet Duramax
Taylor Nicole Dean,194595,I used to spray down my BP tank but I noticed that once it was sprayed down it only made the humidity worse. Now what I do when the tank is getting a little dry is take Thomas out and let him hang out with me take all of his hides and decor out and then get some warm/semi-hot water and soak his coconut husk in the tank until its damp. Then the humidity goes right up for the next week or two and then you just repeat. Its pretty easy and Thomas will stop hating me for spraying him.Not that youre really doing anything wrong of course! They all look very happy and healthy and gorgeous as ever.
Teresa Bullock,2002947,Teresa sweet lady. Let me applaud your 20+ years of sobriety. That is truly amazing. Yes its a struggle every day but you are choosing to walk away & that is a blessing. There are genetic studies that suggest that a person can be predisposed to addiction but again the choice to start doing drugs is theirs. I do believe addiction is a disease AND a choice. The disease has to do with dopamine receptors in the brain etc. But I do believe it is a *combination* of biological and environmental conditions but the choice to start & stop is ultimately yours. People choose to get high for a variety of reasons but once the addiction takes hold you keep searching for that dopamine high and while it may provide a temporary escape it only makes things worse when you come down. And the viscous cycle starts again. Please remember also that when someone points a finger at you there are 3 fingers pointing back at them. They have no right to judge you. Hold your head high T. It takes a very strong person to go through hell survive and then try to help others not make the same mistake. You are a warrior choosing to put on the right armor. You are the kind of woman that when your feet hit the floor in the morning the devil says Crap! Shes up!  God Bless you always! ✝️💞😘
Jeb Corliss,766625,One word: Peace.
Brian Beker,530393,Rabies!!!
Gohan The Husky,471570,I love him
Brave Wilderness,2010418,I rlly want that book :-^3
Brave Wilderness,2527148,Coyoteeeeee!!! Stop acting like a such a child for the children! You do know that you have an older crowd as well too?!
MonkeyBoo,805833,dont force him :-(
Brave Wilderness,349985,Your soooooooooooooooooooooooooooooooo cool
Gohan The Husky,414397,Gohan is a little bit jelly :P
• Euraboo •,661709,Yaaaaasssssss - YAAASSSS
The Dodo,1427971,This brings tears of joy to my eyes and my heart overflows with love for the people who constantly step up step in and help these animals in recovering health; and then releasing them into the wild where they rightfully belong.
Tony Reed,2141117,You didnt refer to A00?
ERB2,430667,Power rangers vs teen titans
Gohan The Husky,2274585,omg thats so cute❤
J&J Acres,2124585,My property has 4 of the top 10 most dangerous snakes in the world so thats an almost ever-present danger.  Then theres bushfires.  Nothing else really.
Keedes channel LIVE,299316,ставьте  лайк если вам нравится  этот чудный  котёнокРЫЖИК
Brave Wilderness,365618,mengkudu good for u
Alex Knappenberger,1515397,Nailed it
Brave Wilderness,1421096,Mark : Whats wrong? Coyote : Are you ready to see an alien? Mark : What are you talking about? Coyote : *shows him dank memes*
The Pet Collective,496154,1:44 IM DYING HAHAHAHA
ViralHog,1488173,*Taylor Swift targets motorcyclist
Tony Reed,574142,Refuse to address? Of course! Because it is idiotic!
My BB Bunny,1402804,Wow Its my first time too your Channel! Such a cute bunny! And Also congratulations On your pregnancy!!!💞💞❤❤❤❤
MrBryGuy55,712170,Great reaction!!!!!
Aquarium Co-Op,1068749,Man. I love these vids!!! Thank you!
ツHeeooo,1669951,Pack at 11:00 ??
Brian Barczyk,1871483,I AM SO GREEDY EVEN THOUGH YOU POST EVERYDAY I ALWAYS WANT MORE
Brave Wilderness,1064258,Would you kill yourself for views?
Vet Ranch,1033251,that tumer must hurt like hell.
Taylor Nicole Dean,1476169,god why did you sneeze in your hand
Top 10 COMPILATION,908159,pomsky
Mạnh CFM,884491,Anh lam chip du dai ku to nha
ChewyMinions AJ,2278494,DO EMTLY
Brave Wilderness,976239,Mark and Coyote (esp Mark) need to do something for the ladies and take their damn shirts off in an episode!   We have to watch this with our kids.   Do somethin for the ladies!   Those boys are CUT UP!
Creature Lynx,1896670,What happens when we die?
SharonDiary,1632129,Amazing...Im in tears.......
Brave Wilderness,1117379,Part of me is doing for curiosityPart of me is doing for sciencePart of me is doing for subscribers
MARLENE MCCOHEN,2122705,😍😍😍😍😍😍likeeeeee
StormyRabbits,1642310,how old r u
Cole & Marmalade,596807,hilarious
Taylor Nicole Dean,885023,Cheses scedual EAT
Gone to the Snow Dogs,1470233,I want to se a NEW PUPPY Video 🐺
Brave Wilderness,2171011,22:31 Does anybody know what species this wasp is? Its actually quite stunning but unfortunately Executioner Wasp Latin America yields no results. Great video btw I love Marks T-shirt. xD
ViralBe,1765417,Misleading thumbnail so I have to suggest that you better die sooner than later. Thank you.
best pets,657876,How do people train dogs to attack? Or do they just do it either way?
Taylor Nicole Dean,2078181,I mean too
Brave Wilderness,2308592,Why do u do this?!?!?
Robin Seplut,2077871,Robin youre a good man. God bless you. I hope someday when youre judged at the Gates to Heaven youre accepted by a colony of cats.
Brian Barczyk,1540897,I love ur animals
Vet Ranch,2524136,I need a Vet Ranch Samsung phone case ;-;
Aquarium Co-Op,1148876,Whats the fishes name in the picture to click on this video?I didnt see that coloring in your video
Kitten Academy,2091792,I favor haddi I think
The Dodo,1259363,Snake preservation? What are we up to folks. Snakes got no feeling no family bond and forget about friendship. Its better to control their population before they control yours 😂😂😂
Hope For Paws - Official Rescue Channel,1507343,:-$
ParkerPup,1145732,Sorry for the few segments of upside down video!
Cole & Marmalade,2082701,those cats are going nuts
Info Marvel,1944589,Hola
Double D Animal Rescue and Community Services,885712,This video makes me want to swat flies. Lol
NewsAdventureTime,121076,K
The Dodo,1151642,I live in Sweeden
The Dodo,1613749,Wtf kind of parents let there kids drown their hands into snake blood and make a print also I imagine the kids saying hey look daddy look at my hand oh Im so proud sweety
OTIS FUNKMEYER,1420546,I loved both those battles and it struck me when I first watched them that during the Summer Sessions round although Damen absolutely murdered his set Bouboo seems to have deliberately played with 2 or so layers of the music that Damen didnt. I thought that was really cool because it really struck me as something Bouboo was intentionally doing from the get go as a response to Damens round. In this video I think one clear example is at 3:31 when Bouboo hits the background doom doom doom and also at 3:46 when he hits those fast flowy sounds. Damen as far as I can tell did not dance to those sounds at all and it felt to me like Bouboo used that to demonstrate stronger musicality. But man those battles were sickJust wanted to share! I found that super awesome and it made me rewatch those battles heeaaaaaps
Inappropriate Reefer,1757834,tanks coming on great mate but you should try and use eye protection when fragging zoas they could blind you
Pickles12807,358381,Is this syrian
Abbey Normal,672279,Love you.leaning lots
Brian Barczyk,1352319,I think you should call him gilroy or Brian jrn
Brave Wilderness,881151,i like eating durians
Vet Ranch,468614,Like if YouTube should stop being so sensitive and strict
Taylor Nicole Dean,203871,I love this armadillo
The Dodo,656347,Behold my dogtermination
Brave Wilderness,1267326,In my house their is a black widow what do I do
Brian Barczyk,1368560,Good morning Bryan I hope you have an awesome day and have fun on another note Im going to use the reptile prime bedding for the first time today for my bow Python sunshine who I named after yours I love your blogs you inspire me
Brian Barczyk,1666099,every time I watch your video I feel more an more to have a pet snake😱  although I dont have experience omg I Like those banana ball Python omg
Brave Wilderness,939024,adorable little monkey hamsters
Brave Wilderness,1471654,This tail can harm you in no way later: oh dont wanna be stabbed in the eye  XD  love ya vids
ViralHog,1785634,because of people that that man the world is a better place today INSPIRED
Zak Georges Dog Training rEvolution,1985008,My puppy isnt easily distracted especially when he decides to bite me! So Ive started pinching his ears when he bites me and then trying to distract him with a toy while hes confused over what happened to his ear
Kovu,939469,Great vid kovu! Keep up the great work!
Think Like A Horse,2139215,Its a fake post this is an old picture from Australia where they cull Brumbys like we do deer here!!
ViralHog,1885502,- this is definitely very scary I just wonder when the water will come back or even if it will😨
The Dodo,973927,The swam was just like KIDS ON THE SCHOOL BUS!
Smarter Every Day 2,2375014,hello Destin!I invited a group of YouTubers to Ozone TN to my aunts home to view the eclipse.out of the dozen and change cameras we had two dedicated cameras set to capture ground waves/shadow bands/shadow snakes on a king size sheet.one of the cameras had a faulty SD card so it missed out on everything... but our second camera was a gopro hero 5 recording in full 4k resolution.the 4k footage is up on my channel at /watch?v=p0shfIRCGLQ(specifically at 2.15 at the start of totality and 5.00 at the end of totality)you can ignore the hangout videos as they tend use some harsh language that you do not use. (the ground waves video has no audio track in the public version)The guys have all given the ok to share all footage we have captured with anyone and i thought you would like to take a look at 4k shadow bands and maybe even use the footage. (we are not looking for video based shoutouts but in description credit for the source of the video would be appreciated)
Brave Wilderness,2513475,Amazing
Mr. Max T.V.,1526418,he is one funny bird and he doesnt even know it Dont tell him how funny   he is it might go to his head  LOL
Cat Man Chris,874788,How beautiful yet wild.🐅🐯
Brian Barczyk,1948061,No not Jessica
Amethyst Is Cutie,1044529,Its not like they ate blood before then how did they know it tastes like human blood?????
Brave Wilderness,1272095,a radroach
ViralBe,651311,Hi
2AGuysAndGear,1384686,That is obviously a good company to do business with.  I was hoping to see you shoot that rifle.
Brave Wilderness,1924759,Thought bear grylls was tough?He tried to avoid pain.Coyote peterson?He did the opposite
Aquarium Co-Op,545151,nice!! my new favorite!!
Brave Wilderness,1957731,Good job!!
Top View Viral,1897847,Y el que dices que es pastor alemán atigrado es pastor holandés tu sabes poco de razas amigo.
The Dodo,281067,I refuse to watch a 30 second commercial for a 40 second video. I did not see you vid.
Lennon The Bunny,1623914,Lennon looks so comfortable in your arms god I wish I was as spoiled as Lennon! What a well cared for and happy bun!
Brian Barczyk,2245951,Hey Brian I want a snake but I need to convince my parents. My mom says that I cant have one because snakes smell I think this is from her experience with local garter snakes and thief musk. Do all snakes produce a musk when stressed?
The Pet Collective,1111630,where do u get a fluffy dog
Solid Gold Aquatics,1706865,Ah! Theyre so stinking cute! I cant wait to see more videos on these girls.
The Dodo,2025681,thats one BIG cobra
The Dodo,1649758,Germen Sheprted
Viktor Larkhill,1014557,ich würde diese schöne Hunde Dame gerne zu mir nehmen aber leider geht es nicht aber eines muss ich sagen sie hat ein sehr starken Willen zum Leben es gibt ja Namen mit beutung der passt zu hir die schöne hu der Dame Nancy
Talking Kitty Cat,697227,Happy Birthday Gibbyson! Wish you many more! Glad to see Shelby playing with her squeaky burger. Sylvester is sooooo funny.
rsdfreetour,1907469,Modern day BF Skinner head ass lmao. Great content. It seriously never fails. The parallels between women and marketing are very close. I always thought of that but to hear it in a video and explained inn such detail its crazy.
Loki the Red Fox,1051279,Lokis sinking into the couch no bones look  lol  pretty darn comfortable by the looks of things  <3
Brian Barczyk,2287665,How do you know if its a boy or girl
Robin Seplut,1103957,Can u find these cats a home please.
ViralBe,853938,Have you ever seen Malinois somewhere in the north on the duty? In our country there is sometimes - 20 and - 30 and Belgian Shepherd wont make 24/7 outside. GSD do that. Belgians have way more energy and GSD are BETTER as family dogs. Actually Malinois are one of the worst to have it with kids. Belgians are easier to train for a duty nowadays as are easier to motivate.
꼬부기아빠 My Pet Diary,431181,너무이쁘다
Real Shock,1610463,Люди я походу ненормальный я ведро выбрал мне в психушку надо
Brian Barczyk,1673345,No
Brave Wilderness,1262456,this is my friend Coyote Peterson he is heavy weapons guy! he uses an armor inside of his body to make the god of bravery! He weighs 150 kilograms and defends himself 200 dollar costume 2 katages and 10000 grams per minute... because 400000 dollars to fire this weapon for 20 seconds.
Brian Barczyk,2207185,I am praying for you she doesnt die
Brave Wilderness,940839,Are  you ok
Brave Wilderness,659103,the limb
Kitten Academy,32928,I used to have trouble telling Banjo from Kazoo but now Banjo is so much bigger than little Kazoo.  He needs to grow.
Brave Wilderness,2234078,I have a bearded dragon and he’s small
Info Marvel,528064,La teoria pude pasar
Brian Barczyk,731465,What drives me in the morning? That would have to be family and of coarse I live my job. My customers are great. I enjoy getting up and walking into my living room every morning looking at my enclosures to see if maybe I got lucky enough to have a lock between a few of the pairings I put together. I know I am late at doing so but better late than never. So I guess multiple things drive me to get up and going in the morning. As for Speedy I have seen tortoises that have lost limbs with skateboard type things to assist them in everyday life.                   Thanks for vlogging                                            Jess
Keedes channel LIVE,1564826,целый приют
Gone to the Snow Dogs,236085,Early!
Aaron Rift,2102696,Oh Sassy XD LOL
Mạnh CFM,632032,anh chs ak wukong đii
Robin Seplut,2212385,What a wonderful mother. She is just protecting her babies.
Mạnh CFM,1652880,ah mạnh ah bình luận lại đi
Brave Wilderness,1180857,#keepingupwiththecoyote
The Dodo,2103013,My dad never came back from the army
Brian Barczyk,360344,Notifacition squad
Kovu,2318246,XD
Brave Wilderness,1275187,Next up getting bit by a brazilian wandering spider
teardropface,2480690,Jeeze Rainbow was going crazy in the background! O_OIt sounds like somebirdy couldnt wait for Christmas.~ ♥Fluffy Blueberry improving the card was an extra bonus.
Robin Seplut,225294,Cat sleeps or Cats sleep in the title :P
The Dodo,2449436,Y r humans so horribleIm ashamed 2 be one T_T
The Dodo,2501317,He looks terrified probably broke something. Hawks arent afraid of wind but theyre supposed to be afraid of people.
Riddle 24,769230,коротко о видео#ОНИЖДЕТИ#ЯЖМАТЬ
Keedes channel LIVE,289950,вылупете страуса
Talking Kitty Cat,1952789,y u make vids every 5 to 7 months.... just wanna know why
CLB Nuôi Sóc Cảnh,1919614,Ko thay cho
SarasSerenityandSleep,877683,You are my favorite Sara
The Dodo,1330064,His eyes are sooo cute
AQUAPROS,2194080,Cory the pleco whisperer hehe :)  They are a cool fish to keep.
Natalie,2465809,I like your new models/haul type videos.
Brave Wilderness,1280915,In all honesty SPAM isnt too bad. Especially if you grill with some pineapple juice.
melevsreef,2288541,So you are thinking about going to verizon. In my mind this is simple I have been with Verizon for over ten years now I have zero complains I pick up the phone and it works bottom line. I notice that you use apple products which is even better. I use apple in my personal life and a droid for work. I can tell you the apple phone works better. All of that being said 7 of the ten years were spent in South East Florida (FT. Lauderdale area) and 3 years ago we moved to Colorado I was concerned about the coverage being in the mountains. I can tell you I still have no complaints I pick up the phone and it works bottom line. it will be worth any extra that you will pay per month. IMHO.
Brian Barczyk,2056676,Love the patterns
ERB2,1061143,Baby name: Marilyn I
Viktor Larkhill,812304,Wonderful news
Max and Katie the Great Danes,1033992,Wish the videos were longer ....All these pets have a great life and thank you for sharing these funny and happy moments.
The Dodo,171962,GIVE THIS MAN AN OSCAR!
DanRock,402314,very true my good man
Robin Seplut,2140070,Aooowwwwhat a fluffy 😊
Kovu,2196705,Early
Info Marvel,1212233,Logan es definitivamente uno de los mejores personajes de marvel   Ojalá que reviba en el futuro
